Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,ssd Name,Price
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,124,179.0,2407,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB,HP EX920 NVMe PCIe M.2 256GB,25.99
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,125,179.0,497,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500,Corsair Neutron NX500 NVMe PCIe 400GB,77.99
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,126,179.0,78255,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8,Crucial P1 3D NVMe PCIe M.2 500GB,99.99
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,127,177.0,99566,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000,Samsung PM961 NVMe PCIe M.2 256GB,79.99
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,128,177.0,12504,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP,Adata XPG SX6000 Pro NVMe PCIe M.2 256GB,46.99
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,129,176.0,11069,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128,Samsung PM961 NVMe PCIe M.2 128GB,154.99
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,130,175.0,7621,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000,Samsung SM951 AHCI PCIe M.2 256GB,33.99
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,131,174.0,3426,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400,Toshiba OCZ RD400 NVMe PCIe M.2 256GB,345.00
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,132,172.0,1241,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8,Mushkin Pilot NVMe PCIe M.2 250GB,121.54
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,133,171.0,339,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G,Kingston KC1000 NVMe PCIe M.2 960GB,60.50
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,134,171.0,1772,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128,Samsung SM951 NVMe PCIe M.2 128GB,154.99
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,135,171.0,9737,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB,Toshiba XG5 NVMe PCIe M.2 1TB,107.34
SSD,CT250P2SSD8,Crucial,P2 3D NVMe PCIe M.2 250GB,136,171.0,6626,https://ssd.userbenchmark.com/SpeedTest/1121042/CT250P2SSD8,Crucial P2 3D NVMe PCIe M.2 250GB,45.59
SSD,WDS250G2B0C,WD,Blue SN550 NVMe PCIe M.2 250GB,137,168.0,15006,https://ssd.userbenchmark.com/SpeedTest/991678/WDC-WDS250G2B0C-00PXH0,WD Blue SN550 NVMe PCIe M.2 250GB,47.99
SSD,CT500P2SSD8,Crucial,P2 3D NVMe PCIe M.2 500GB,138,166.0,55360,https://ssd.userbenchmark.com/SpeedTest/1110621/CT500P2SSD8,Crucial P2 3D NVMe PCIe M.2 500GB,99.99
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,139,165.0,2093,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000,Samsung SM951 AHCI PCIe M.2 128GB,110.40
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,140,164.0,2811,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0,WD Blue SN500 NVMe PCIe M.2 250GB,47.99
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,141,164.0,1236,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G,Kingston KC1000 NVMe PCIe M.2 480GB,37.99
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,142,163.0,12447,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB,HP EX900 NVMe PCIe M.2 250GB,23.88
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,143,162.0,26501,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510,Corsair Force NVMe PCIe M.2 240GB,32.95
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,144,162.0,42,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40,Intel DC P3600 Series NVMe PCIe 400GB,259.99
SSD,,Apple,SM0512G PCIe 500GB,145,162.0,1474,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G,Apple SM0512G PCIe 500GB,19.99
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,146,160.0,14022,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV,Toshiba THNSN5512GPU7 NVMe PCIe M.2 512GB,39.99
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,147,158.0,2541,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11,XPG Gammix S11 NVMe PCIe M.2 240GB,21.99
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,148,158.0,3881,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500,Corsair Force MP500 NVMe PCIe M.2 480GB,32.95
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,149,156.0,162275,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8,Intel 660p NVMe PCIe M.2 512GB,39.99
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,150,155.0,2610,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU,Samsung PM951 NVMe PCIe M.2 512GB 1TB,110.40
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,151,155.0,170,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350,OCZ RevoDrive 350 PCIe 960GB,19.55
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,152,154.0,852,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2,Patriot Hellfire NVMe PCIe M.2 480GB,34.99
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,153,154.0,1613,https://ssd.userbenchmark.com/SpeedTest/206552/BPX,MyDigitalSSD BPX NVMe PCIe M.2 480GB,37.99
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,154,153.0,9612,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP,Adata XPG SX8200 NVMe PCIe M.2 240GB,46.99
SSD,SB-ROCKET-256,Sabrent,Rocket NVMe PCIe M.2 256GB,155,152.0,11181,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent,Sabrent Rocket NVMe PCIe M.2 256GB,99.99
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,156,152.0,1645,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP,Adata XPG SX8000 NVMe PCIe M.2 512GB,46.99
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,157,151.0,14860,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500,Corsair Force MP500 NVMe PCIe M.2 240GB,32.95
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,158,150.0,2421,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO,Toshiba THNSN5128GPU7 NVMe PCIe M.2 128GB,16.99
SSD,,Apple,SM0256G PCIe 251GB,159,149.0,1022,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G,Apple SM0256G PCIe 251GB,84.99
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,160,149.0,1326,https://ssd.userbenchmark.com/SpeedTest/211350/BPX,MyDigitalSSD BPX NVMe PCIe M.2 240GB,21.99
