Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,cpu Name,Price
CPU,BX80633I74960X,Intel,Core i7-4960X,265,78.4,5121,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977,Intel Core i7-4960X,769
CPU,,AMD,Ryzen 7 6800H,266,78.3,6532,https://cpu.userbenchmark.com/SpeedTest/1786492/AMD-Ryzen-7-6800H-with-Radeon-Graphics,AMD Ryzen 7 6800H,299
CPU,,AMD,Ryzen 9 5900HX,267,78.2,12809,https://cpu.userbenchmark.com/SpeedTest/1449683/AMD-Ryzen-9-5900HX-with-Radeon-Graphics,AMD Ryzen 9 5900HX,639
CPU,,Intel,Core i5-10500T,268,78.2,1923,https://cpu.userbenchmark.com/SpeedTest/1204939/IntelR-CoreTM-i5-10500T-CPU---230GHz,Intel Core i5-10500T,199
CPU,,AMD,Ryzen 5 4600G,269,78.1,2405,https://cpu.userbenchmark.com/SpeedTest/1344633/AMD-Ryzen-5-4600G-with-Radeon-Graphics,AMD Ryzen 5 4600G,96
CPU,,Intel,Core i5-10400T,270,78.1,1246,https://cpu.userbenchmark.com/SpeedTest/1189479/IntelR-CoreTM-i5-10400T-CPU---200GHz,Intel Core i5-10400T,199
CPU,,Intel,Xeon E3-1286 v3,271,78.1,33,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz,Intel Xeon E3-1286 v3,989
CPU,,Intel,Core i7-11375H,272,78.0,890,https://cpu.userbenchmark.com/SpeedTest/1462657/11th-Gen-IntelR-CoreTM-i7-11375H---330GHz,Intel Core i7-11375H,366
CPU,,AMD,Ryzen 9 5980HS,273,78.0,147,https://cpu.userbenchmark.com/SpeedTest/1493102/AMD-Ryzen-9-5980HS-with-Radeon-Graphics,AMD Ryzen 9 5980HS,360
CPU,,Intel,Core i7-3970X,274,77.9,2677,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz,Intel Core i7-3970X,366
CPU,BX80673I77800X,Intel,Core i7-7800X,275,77.9,22334,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz,Intel Core i7-7800X,381
CPU,,Intel,Core i7-5850HQ,276,77.8,55,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz,Intel Core i7-5850HQ,366
CPU,FH8067703417418,Intel,Core i7-8706G,277,77.7,211,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz,Intel Core i7-8706G,366
CPU,BX80619I73960X,Intel,Core i7-3960X,278,77.7,2165,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973,Intel Core i7-3960X,366
CPU,,Intel,Core i7 X 990,279,77.7,4994,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz,Intel Core i7 X 990,381
