Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,cpu Name,Price
CPU,BX8071513600K,Intel,Core i5-13600K,17,122.0,27559,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134,Intel Core i5-13600K,259
CPU,BX8071513600KF,Intel,Core i5-13600KF,18,122.0,24875,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF,Intel Core i5-13600KF,259
CPU,BX8071513700,Intel,Core i7-13700,19,121.0,2103,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700,Intel Core i7-13700,329
CPU,BX8071513700F,Intel,Core i7-13700F,20,121.0,5633,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F,Intel Core i7-13700F,360
CPU,BX8071514700,Intel,Core i7-14700,21,120.0,293,https://cpu.userbenchmark.com/SpeedTest/2275244/IntelR-CoreTM-i7-14700,Intel Core i7-14700,399
CPU,BX8071514700F,Intel,Core i7-14700F,22,120.0,836,https://cpu.userbenchmark.com/SpeedTest/2271502/IntelR-CoreTM-i7-14700F,Intel Core i7-14700F,366
CPU,100-100000908WOF,AMD,Ryzen 9 7950X3D,23,120.0,876,https://cpu.userbenchmark.com/SpeedTest/2052977/AMD-Ryzen-9-7950X3D-16-Core-Processor,AMD Ryzen 9 7950X3D,546
CPU,BX8071512900KS,Intel,Core i9-12900KS,24,119.0,7188,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS,Intel Core i9-12900KS,384
CPU,,Intel,Core i9-14900HX,25,118.0,563,https://cpu.userbenchmark.com/SpeedTest/2269186/IntelR-CoreTM-i9-14900HX,Intel Core i9-14900HX,579
CPU,100-100000909WOF,AMD,Ryzen 9 7900X3D,26,117.0,706,https://cpu.userbenchmark.com/SpeedTest/2053257/AMD-Ryzen-9-7900X3D-12-Core-Processor,AMD Ryzen 9 7900X3D,397
CPU,,Intel,Core i9-13980HX,27,117.0,4493,https://cpu.userbenchmark.com/SpeedTest/2030055/13th-Gen-IntelR-CoreTM-i9-13980HX,Intel Core i9-13980HX,2499
